symbol,
NSE:BAJAJFINSV,
NSE:MARUTI,
NSE:DRREDDY,
NSE:BAJFINANCE,
NSE:DIVISLAB,
NSE:BAJAJ_AUTO,
NSE:HEROMOTOCO,
NSE:TCS,
NSE:TORNTPHARM,
NSE:JUBLFOOD,
NSE:ASIANPAINT,
NSE:APOLLOHOSP,
NSE:HDFC,
NSE:HINDUNILVR,
NSE:RELIANCE,
NSE:KOTAKBANK,
NSE:INDIGO,
NSE:ACC,
NSE:PIDILITIND,
NSE:BATAINDIA,
NSE:SIEMENS,
NSE:PEL,
